#Network: C:/Users/Yanyan/Documents/Visual Studio 2013/Projects/StressTransGraphVis/data/facebook_899/facebook_899.txt
#Nodes: 899	Edges: 7089
#NodeId	Degree	Closeness	Betweennes	EigenVector	NetworkConstraint	ClusteringCoefficient	PageRank	HubScore	AuthorityScore
130	62.000000	0.434236	8830.106784	0.093419	0.023453	0.057641	0.005769	0.002838	0.155812
193	67.000000	0.436558	17909.559449	0.074830	0.021444	0.033017	0.007532	0.032701	0.091916
199	7.000000	0.341185	77.323445	0.010002	0.156236	0.095238	0.000294	0.007963	0.004232
203	12.000000	0.371997	297.504736	0.020463	0.093471	0.121212	0.000631	0.013435	0.020262
219	17.000000	0.399111	625.513889	0.037892	0.068315	0.125000	0.000421	0.042853	0.015303
304	16.000000	0.376994	1403.222785	0.022772	0.073137	0.066667	0.001488	0.003206	0.031364
545	7.000000	0.348062	103.055528	0.011038	0.152499	0.000000	0.000294	0.008841	0.004232
547	4.000000	0.337214	124.983989	0.006565	0.270655	0.000000	0.000341	0.003363	0.004482
19	71.000000	0.437835	10601.633515	0.095946	0.021282	0.045875	0.004199	0.011323	0.165225
120	43.000000	0.403233	9016.553026	0.045241	0.029693	0.022148	0.003253	0.002305	0.080423
163	101.000000	0.466979	23905.127021	0.138287	0.015745	0.065941	0.003193	0.189803	0.039357
261	16.000000	0.378583	2862.993799	0.024972	0.071929	0.083333	0.001253	0.020597	0.020529
307	31.000000	0.392998	1785.290445	0.042496	0.040068	0.051613	0.001532	0.009414	0.069076
262	8.000000	0.354660	110.242686	0.012996	0.138591	0.107143	0.001164	0.005007	0.014690
20	12.000000	0.347523	987.791411	0.011626	0.095777	0.000000	0.000727	0.001662	0.017190
55	26.000000	0.385077	1384.626776	0.030592	0.045849	0.049231	0.001577	0.022074	0.020009
22	14.000000	0.382779	453.169687	0.024556	0.080498	0.098901	0.000208	0.040778	0.002321
360	14.000000	0.366531	1646.438838	0.017150	0.080887	0.021978	0.000675	0.012564	0.017592
378	31.000000	0.398050	3373.764740	0.035777	0.038268	0.030108	0.001264	0.009190	0.056695
422	37.000000	0.404505	3205.124880	0.050004	0.034492	0.058559	0.001283	0.018199	0.052076
442	49.000000	0.422389	5664.544133	0.067626	0.027823	0.055272	0.002220	0.010154	0.110942
184	54.000000	0.434446	6843.157049	0.082957	0.025603	0.069881	0.002745	0.040359	0.102366
251	45.000000	0.412494	12054.625180	0.046326	0.028062	0.029293	0.004415	0.009251	0.061460
409	8.000000	0.350097	156.246113	0.012653	0.132640	0.000000	0.000573	0.010319	0.003937
24	34.000000	0.407441	5382.457016	0.042430	0.038422	0.064171	0.009019	0.022987	0.027474
209	4.000000	0.313876	586.388228	0.003627	0.273193	0.000000	0.000785	0.003080	0.000958
254	6.000000	0.343535	165.641180	0.009035	0.178250	0.066667	0.000926	0.005789	0.007668
272	39.000000	0.419430	6349.170429	0.057206	0.033441	0.071525	0.002430	0.028324	0.065731
296	22.000000	0.385408	1752.042903	0.026386	0.052801	0.043290	0.002420	0.029943	0.008663
401	6.000000	0.340409	57.942857	0.008463	0.175912	0.000000	0.000755	0.000754	0.014640
421	25.000000	0.388913	1467.337921	0.030771	0.049684	0.083333	0.001138	0.028563	0.015349
25	30.000000	0.408182	6758.410355	0.037762	0.039191	0.043678	0.000660	0.046118	0.015627
106	46.000000	0.407256	5424.592206	0.051881	0.029358	0.031884	0.002155	0.003191	0.097579
113	11.000000	0.363710	865.842710	0.016617	0.102598	0.054545	0.000743	0.007150	0.021529
121	47.000000	0.414972	5562.268755	0.056970	0.029096	0.047179	0.003098	0.023670	0.065325
131	27.000000	0.382779	1610.446997	0.032257	0.045326	0.042735	0.001458	0.015144	0.036250
191	22.000000	0.381640	1349.216236	0.027809	0.053943	0.064935	0.001238	0.024356	0.020506
265	9.000000	0.331365	219.782715	0.007259	0.121550	0.000000	0.003557	0.000767	0.011359
291	6.000000	0.338230	56.699073	0.008656	0.173888	0.000000	0.000219	0.004321	0.012819
297	34.000000	0.395944	6037.881579	0.039056	0.037671	0.039216	0.005145	0.043329	0.022255
329	23.000000	0.396994	1907.266429	0.029673	0.050493	0.055336	0.000290	0.045071	0.006330
395	14.000000	0.361514	2168.170469	0.017491	0.080635	0.043956	0.000825	0.003716	0.028907
439	10.000000	0.341705	346.396085	0.007675	0.114655	0.111111	0.001145	0.006938	0.007040
456	9.000000	0.343798	188.063705	0.010247	0.119837	0.000000	0.000284	0.000260	0.018524
522	3.000000	0.312022	26.153391	0.002772	0.347901	0.000000	0.000203	0.001958	0.002992
26	31.000000	0.420609	2587.232107	0.056262	0.041448	0.094624	0.000622	0.070060	0.027671
91	29.000000	0.393342	3998.291362	0.036821	0.040751	0.036946	0.002184	0.003701	0.049366
155	12.000000	0.355784	680.483587	0.014157	0.095624	0.060606	0.000364	0.011549	0.011063
321	22.000000	0.379063	2469.736457	0.022528	0.055734	0.043290	0.001091	0.024554	0.014634
339	17.000000	0.385905	1358.182332	0.027874	0.068306	0.095588	0.000802	0.035272	0.010702
346	31.000000	0.417674	2295.196475	0.058216	0.041620	0.131183	0.001003	0.033738	0.071785
464	45.000000	0.427212	4754.826997	0.073647	0.029853	0.079798	0.001073	0.038854	0.091863
27	56.000000	0.443238	7488.727164	0.093232	0.025480	0.087013	0.010689	0.089846	0.046402
88	15.000000	0.360498	797.124145	0.015800	0.075412	0.009524	0.001822	0.000356	0.025357
108	39.000000	0.422389	4069.862542	0.065840	0.035223	0.102564	0.001708	0.065208	0.048441
122	35.000000	0.402871	5891.809278	0.043925	0.036734	0.122689	0.003283	0.033637	0.030860
149	26.000000	0.400535	2342.460381	0.042228	0.048992	0.113846	0.001110	0.026087	0.045529
161	7.000000	0.361078	164.264776	0.016530	0.151144	0.047619	0.000573	0.009964	0.018941
165	22.000000	0.396818	1382.298789	0.037843	0.057097	0.134199	0.001171	0.028938	0.028018
167	22.000000	0.386237	1198.496255	0.031425	0.055239	0.069264	0.001042	0.033470	0.014606
263	26.000000	0.425996	1300.797499	0.056035	0.045699	0.107692	0.000843	0.092399	0.005523
385	23.000000	0.385408	1838.246024	0.037106	0.051066	0.055336	0.001423	0.004443	0.062248
28	23.000000	0.399644	1849.770280	0.034963	0.051349	0.063241	0.001882	0.014827	0.031281
94	19.000000	0.398757	1034.640372	0.034102	0.060622	0.076023	0.000697	0.023476	0.030365
29	20.000000	0.404505	655.747435	0.045036	0.059360	0.142105	0.002163	0.021047	0.042687
151	32.000000	0.390435	2959.360021	0.037141	0.040540	0.032258	0.001844	0.008179	0.061419
194	44.000000	0.427619	6857.948887	0.061855	0.030865	0.071882	0.001735	0.067110	0.034730
248	17.000000	0.386902	884.641393	0.030732	0.068052	0.102941	0.001152	0.011350	0.036646
303	15.000000	0.384418	498.016692	0.029109	0.077992	0.152381	0.002964	0.028209	0.015990
318	39.000000	0.444334	2519.300990	0.091612	0.033376	0.141700	0.001738	0.133316	0.022956
32	16.000000	0.366232	598.781991	0.021912	0.072514	0.041667	0.000746	0.000000	0.039813
516	7.000000	0.349280	106.062305	0.010876	0.152656	0.047619	0.000801	0.016665	0.000000
33	7.000000	0.336582	122.089195	0.008160	0.155295	0.000000	0.001025	0.000702	0.014204
34	25.000000	0.397169	2222.527602	0.043368	0.048914	0.096667	0.001326	0.017272	0.055888
210	8.000000	0.352019	129.396732	0.013925	0.138276	0.142857	0.000440	0.009546	0.011346
374	14.000000	0.368033	442.591277	0.018912	0.079235	0.043956	0.000409	0.023282	0.010549
100	47.000000	0.413634	4873.167482	0.057509	0.028754	0.048104	0.005023	0.001189	0.093759
36	45.000000	0.403777	7664.095720	0.047415	0.029170	0.028283	0.004260	0.011677	0.059937
112	6.000000	0.349280	88.972530	0.010993	0.174720	0.066667	0.001845	0.008061	0.009194
37	29.000000	0.399466	3576.047992	0.038423	0.043548	0.061576	0.003487	0.036135	0.021850
150	31.000000	0.390265	4791.589849	0.035970	0.039770	0.027957	0.002012	0.009546	0.054938
332	24.000000	0.404322	1161.832346	0.048137	0.052775	0.137681	0.001091	0.015490	0.071042
394	18.000000	0.357912	1971.317887	0.015214	0.064951	0.019608	0.000852	0.005856	0.018327
39	10.000000	0.367280	167.824719	0.018055	0.107865	0.044444	0.000295	0.008309	0.025765
50	36.000000	0.397521	3415.329090	0.041752	0.034699	0.039683	0.003396	0.003167	0.062858
40	28.000000	0.382779	3752.320083	0.028925	0.043913	0.037037	0.001589	0.008179	0.041243
41	22.000000	0.387403	1209.862642	0.029648	0.054918	0.069264	0.000543	0.012990	0.037766
43	39.000000	0.426198	3785.455283	0.057995	0.033062	0.062078	0.000655	0.079035	0.022873
234	12.000000	0.373855	549.597112	0.019321	0.092556	0.075758	0.000357	0.023342	0.010085
349	20.000000	0.400893	1547.186102	0.040588	0.060051	0.136842	0.000556	0.045019	0.021299
543	5.000000	0.328817	45.075964	0.006035	0.213416	0.000000	0.000465	0.001600	0.007707
42	44.000000	0.400714	5434.833151	0.045046	0.029177	0.022199	0.005476	0.000444	0.073795
425	7.000000	0.335325	110.186563	0.007096	0.160657	0.142857	0.004865	0.002166	0.010814
162	26.000000	0.394725	1487.415438	0.039772	0.046664	0.055385	0.000857	0.012806	0.064763
233	9.000000	0.361514	478.730457	0.015473	0.123916	0.166667	0.000452	0.008623	0.016849
237	23.000000	0.376047	1802.829333	0.023637	0.050422	0.007905	0.000885	0.001095	0.044838
294	29.000000	0.383761	2359.094641	0.032028	0.043241	0.036946	0.001471	0.011207	0.049623
316	22.000000	0.397873	954.171357	0.038230	0.052669	0.051948	0.000606	0.015969	0.054100
426	11.000000	0.352157	210.830973	0.013669	0.101037	0.036364	0.000778	0.006919	0.016401
494	14.000000	0.359632	1890.227675	0.015749	0.079141	0.021978	0.000686	0.011443	0.010208
498	10.000000	0.362243	140.625814	0.017403	0.112966	0.155556	0.000369	0.017578	0.010901
169	33.000000	0.424988	3869.111787	0.049991	0.037401	0.062500	0.001079	0.067812	0.013808
172	34.000000	0.416126	2560.228583	0.054437	0.036866	0.078431	0.001559	0.044306	0.036699
215	2.000000	0.324422	19.219648	0.004847	0.525610	0.000000	0.000293	0.009143	0.000441
240	16.000000	0.375732	1457.160646	0.023329	0.071035	0.050000	0.001714	0.003087	0.032786
488	22.000000	0.408925	2196.656917	0.041765	0.052579	0.069264	0.001707	0.033696	0.033325
85	27.000000	0.384253	2722.450421	0.027242	0.044163	0.019943	0.003702	0.001746	0.038971
373	19.000000	0.383597	719.960885	0.029388	0.060979	0.070175	0.001135	0.039828	0.010704
46	62.000000	0.453535	10484.488401	0.100113	0.022959	0.077208	0.004067	0.124855	0.053168
98	30.000000	0.398226	1606.178255	0.044834	0.041489	0.068966	0.002149	0.048492	0.013657
302	19.000000	0.365486	2728.098659	0.020767	0.060279	0.017544	0.000839	0.003022	0.031334
338	13.000000	0.375418	667.452592	0.021888	0.084777	0.051282	0.000328	0.025931	0.007965
362	27.000000	0.406151	2317.407474	0.044061	0.045709	0.096866	0.001164	0.058228	0.014410
369	11.000000	0.349688	262.870247	0.011244	0.103407	0.054545	0.000325	0.010526	0.008260
518	6.000000	0.332223	172.600936	0.006203	0.176550	0.000000	0.000444	0.003670	0.005412
525	25.000000	0.387403	4276.834186	0.027261	0.048974	0.050000	0.005856	0.026680	0.018686
230	21.000000	0.386403	3274.681210	0.026134	0.056499	0.057143	0.002021	0.036696	0.003969
49	16.000000	0.367280	686.870338	0.018984	0.070764	0.033333	0.001029	0.000163	0.027244
175	21.000000	0.397345	5089.210882	0.029896	0.055925	0.057143	0.001716	0.046982	0.003209
317	10.000000	0.345917	2359.143027	0.009680	0.118356	0.066667	0.001584	0.004581	0.007487
154	17.000000	0.367731	633.399933	0.019960	0.070885	0.073529	0.002072	0.002557	0.030679
404	13.000000	0.382290	810.737288	0.024602	0.084241	0.089744	0.001015	0.020346	0.020763
430	15.000000	0.371843	514.698674	0.020881	0.076779	0.085714	0.002367	0.014793	0.017956
450	17.000000	0.380831	2653.677232	0.026511	0.065837	0.029412	0.001619	0.002086	0.046303
451	10.000000	0.340668	276.865953	0.007519	0.108199	0.000000	0.000954	0.007933	0.001863
530	9.000000	0.364005	298.275939	0.014632	0.121121	0.083333	0.001329	0.016238	0.008442
52	48.000000	0.427212	7588.859792	0.069996	0.027486	0.058511	0.000964	0.078344	0.033684
177	27.000000	0.401251	1800.801959	0.037943	0.043993	0.051282	0.001228	0.024186	0.035653
190	38.000000	0.413825	5859.228153	0.050847	0.033607	0.064011	0.001169	0.042743	0.044458
200	27.000000	0.392826	2763.645759	0.034254	0.043827	0.039886	0.001413	0.028419	0.031808
252	21.000000	0.382779	1180.009187	0.032926	0.055908	0.057143	0.001812	0.001044	0.055817
256	12.000000	0.363563	271.561834	0.019559	0.090920	0.045455	0.000431	0.002524	0.031175
377	39.000000	0.421794	4238.768817	0.061009	0.037021	0.165992	0.000678	0.071508	0.032575
407	28.000000	0.391969	3817.773282	0.033415	0.043890	0.044974	0.001100	0.038832	0.013088
410	16.000000	0.371381	534.982670	0.025371	0.072993	0.066667	0.000646	0.003399	0.044870
419	11.000000	0.365041	323.460533	0.016709	0.097964	0.036364	0.000880	0.010539	0.018832
485	13.000000	0.369395	524.953360	0.020417	0.090260	0.089744	0.000441	0.015641	0.013580
512	15.000000	0.382128	421.105622	0.027080	0.075635	0.076190	0.000606	0.000739	0.046930
540	6.000000	0.325362	732.802103	0.004758	0.185230	0.066667	0.000370	0.000482	0.007168
549	3.000000	0.337721	3.885774	0.008224	0.351649	0.333333	0.000535	0.001616	0.006062
53	24.000000	0.399822	1550.306669	0.037154	0.049022	0.065217	0.000748	0.034224	0.030084
391	31.000000	0.406519	2264.985292	0.045874	0.040951	0.073118	0.001280	0.056360	0.021523
